"NOME_URNA_CANDIDATO" "NOME_MUNICIPIO" "TOTAL_VOTOS" "QTD_COMPARECIMENTO" "DESC_SIT_CAND_TOT" "DESCRICAO_CARGO" "PROP_VOT" "prop.total"
"CAPITÃO WÁGNER" "GRAÇA" 19 8170 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.23 "TOTAL:85,06%"
"DRA. SILVANA" "PACUJÁ" 18 4480 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.4 "TOTAL:85,2%"
"CHAGAS MACEDO" "QUITERIANÓPOLIS" 54 11571 "SUPLENTE" "DEPUTADO FEDERAL" 0.47 "TOTAL:83,29%"
"DRA. SILVANA" "GRAÇA" 39 8170 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.48 "TOTAL:85,06%"
"AUDIC MOTA" "BREJO SANTO" 130 26523 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 0.49 "TOTAL:78,61%"
"MACEDO" "QUITERIANÓPOLIS" 59 11571 "ELEITO POR QP" "DEPUTADO FEDERAL" 0.51 "TOTAL:83,29%"
"DR. LUCÍLVIO GIRÃO" "DEPUTADO IRAPUAN PINHEIRO" 30 5487 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.55 "TOTAL:80,5%"
"CAPITÃO WÁGNER" "MILHÃ" 52 8493 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.61 "TOTAL:80,19%"
"DR. SANTANA" "PORTEIRAS" 63 9958 "SUPLENTE" "DEPUTADO ESTADUAL" 0.63 "TOTAL:75,53%"
"GEORGE VALENTIM" "PACUJÁ" 30 4480 "SUPLENTE" "DEPUTADO ESTADUAL" 0.67 "TOTAL:85,2%"
"DELEGADO CAVALCANTE" "MUCAMBO" 59 8534 "SUPLENTE" "DEPUTADO ESTADUAL" 0.69 "TOTAL:78,13%"
"JOSÉ GUIMARÃES" "ARNEIROZ" 34 4952 "ELEITO POR QP" "DEPUTADO FEDERAL" 0.69 "TOTAL:85,83%"
"ODORICO" "MUCAMBO" 59 8534 "ELEITO POR QP" "DEPUTADO FEDERAL" 0.69 "TOTAL:79,94%"
"MOISES BRAZ" "GRANJA" 220 30300 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.73 "TOTAL:72,64%"
"BALMAN" "DEPUTADO IRAPUAN PINHEIRO" 41 5487 "ELEITO POR QP" "DEPUTADO FEDERAL" 0.75 "TOTAL:79,42%"
"CABO SABINO" "CARNAUBAL" 67 8901 "ELEITO POR QP" "DEPUTADO FEDERAL" 0.75 "TOTAL:77,81%"
"SERGIO ALVES" "MARTINÓPOLE" 55 7312 "SUPLENTE" "DEPUTADO ESTADUAL" 0.75 "TOTAL:80%"
"RAIMUNDO MATOS" "MILAGRES" 128 16788 "ELEITO POR QP" "DEPUTADO FEDERAL" 0.76 "TOTAL:76,41%"
"IVO GOMES" "MUCAMBO" 66 8534 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.77 "TOTAL:78,13%"
"RONALDO MARTINS" "CARNAUBAL" 69 8901 "ELEITO POR QP" "DEPUTADO FEDERAL" 0.78 "TOTAL:77,81%"
"INÁCIO ARRUDA" "PACUJÁ" 36 4480 "SUPLENTE" "DEPUTADO FEDERAL" 0.8 "TOTAL:83,34%"
"JOSÉ GUIMARÃES" "PARAMBU" 162 19306 "ELEITO POR QP" "DEPUTADO FEDERAL" 0.84 "TOTAL:83,86%"
"BRUNO PEDROSA" "MARTINÓPOLE" 63 7312 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.86 "TOTAL:80%"
"CAPITÃO WÁGNER" "BARROQUINHA" 77 8832 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.87 "TOTAL:73,66%"
"MÁRIO FEITOZA" "PEREIRO" 89 10022 "SUPLENTE" "DEPUTADO FEDERAL" 0.89 "TOTAL:79,02%"
"MÁCIO ALVES" "QUIXELÔ" 99 10917 "SUPLENTE" "DEPUTADO ESTADUAL" 0.91 "TOTAL:80,58%"
"BALMAN" "MUCAMBO" 80 8534 "ELEITO POR QP" "DEPUTADO FEDERAL" 0.94 "TOTAL:79,94%"
"LEONIDAS CRISTINO" "ITATIRA" 118 12530 "ELEITO POR QP" "DEPUTADO FEDERAL" 0.94 "TOTAL:80,68%"
"PAULO FACÓ" "ALCÂNTARAS" 63 6668 "NÃO ELEITO" "DEPUTADO FEDERAL" 0.94 "TOTAL:75,56%"
"ADELITA MONTEIRO" "ALCÂNTARAS" 66 6668 "NÃO ELEITO" "DEPUTADO FEDERAL" 0.99 "TOTAL:75,56%"
"DR. JAZIEL" "FRECHEIRINHA" 87 8703 "SUPLENTE" "DEPUTADO FEDERAL" 1 "TOTAL:78,7%"
"DOMINGOS NETO" "PIRES FERREIRA" 58 5737 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.01 "TOTAL:78%"
"MOSES RODRIGUES" "GRANJA" 308 30300 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.02 "TOTAL:71,27%"
"CABO SABINO" "PIQUET CARNEIRO" 89 8648 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.03 "TOTAL:67,73%"
"FERREIRA ARAGÃO" "CHAVAL" 77 7489 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.03 "TOTAL:65,28%"
"GORETE PEREIRA" "ARARENDÁ" 67 6244 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.07 "TOTAL:76,06%"
"MORONI" "ITATIRA" 135 12530 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.08 "TOTAL:80,68%"
"NIZO COSTA" "QUIXELÔ" 118 10917 "SUPLENTE" "DEPUTADO ESTADUAL" 1.08 "TOTAL:80,58%"
"TOMAS FIGUEIREDO" "CARNAUBAL" 96 8901 "SUPLENTE" "DEPUTADO ESTADUAL" 1.08 "TOTAL:74,15%"
"VALDIVINO LOPES" "PARAMBU" 208 19306 "SUPLENTE" "DEPUTADO ESTADUAL" 1.08 "TOTAL:82,99%"
"CABO SABINO" "IPAPORANGA" 71 6503 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.09 "TOTAL:74,75%"
"CHICO LOPES" "ARARENDÁ" 68 6244 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 1.09 "TOTAL:76,06%"
"LEONIDAS CRISTINO" "PACUJÁ" 49 4480 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.09 "TOTAL:83,34%"
"MARCELO SILVA" "DEPUTADO IRAPUAN PINHEIRO" 60 5487 "NÃO ELEITO" "DEPUTADO FEDERAL" 1.09 "TOTAL:79,42%"
"PROFESSOR PINHEIRO" "SOLONÓPOLE" 117 10705 "SUPLENTE" "DEPUTADO ESTADUAL" 1.09 "TOTAL:79,88%"
"CABO SABINO" "POTENGI" 61 5539 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.1 "TOTAL:72,02%"
"MAYRA PINHEIRO" "ARNEIROZ" 55 4952 "SUPLENTE" "DEPUTADO FEDERAL" 1.11 "TOTAL:85,83%"
"NIZO COSTA" "ARNEIROZ" 55 4952 "SUPLENTE" "DEPUTADO ESTADUAL" 1.11 "TOTAL:78,13%"
"DR. JOAO BATISTA" "PIRES FERREIRA" 64 5737 "SUPLENTE" "DEPUTADO ESTADUAL" 1.12 "TOTAL:76,91%"
"DRA. SILVANA" "ALTO SANTO" 107 9571 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.12 "TOTAL:73,91%"
"NEIDE PIANCO" "PENAFORTE" 65 5738 "SUPLENTE" "DEPUTADO FEDERAL" 1.13 "TOTAL:69,61%"
"DRA. SILVANA" "URUOCA" 98 8564 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.14 "TOTAL:73,25%"
"AUDIC MOTA" "ITATIRA" 147 12530 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 1.17 "TOTAL:78,49%"
"DOMINGOS NETO" "GRANJA" 354 30300 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.17 "TOTAL:71,27%"
"GENECIAS NORONHA" "CATARINA" 75 6390 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.17 "TOTAL:74,82%"
"VAIDON OLIVEIRA" "CRUZ" 170 14479 "SUPLENTE" "DEPUTADO FEDERAL" 1.17 "TOTAL:74,76%"
