"NOME_URNA_CANDIDATO" "NOME_MUNICIPIO" "TOTAL_VOTOS" "QTD_COMPARECIMENTO" "DESC_SIT_CAND_TOT" "DESCRICAO_CARGO" "PROP_VOT" "prop.total"
"OLIVAL MARQUES" "CAPITÃO POÇO" 116 29954 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.39 "TOTAL:86,09%"
"EDSON OLIVEIRA" "CAPITÃO POÇO" 158 29954 "SUPLENTE" "DEPUTADO ESTADUAL" 0.53 "TOTAL:86,09%"
"ORLANDO LOBATO" "AFUÁ" 207 17739 "SUPLENTE" "DEPUTADO ESTADUAL" 1.17 "TOTAL:81,61%"
"WALTER VIEIRA" "ALTAMIRA" 635 50333 "SUPLENTE" "DEPUTADO ESTADUAL" 1.26 "TOTAL:65,51%"
"WLAD" "NOVA ESPERANÇA DO PIRIÁ" 156 10153 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.54 "TOTAL:72,06%"
"CASSIO ANDRADE" "XINGUARA" 378 22248 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.7 "TOTAL:68,25%"
"RAIMUNDO SANTOS" "ORIXIMINÁ" 514 29916 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.72 "TOTAL:77,28%"
"REGINALDO CAMPOS" "ORIXIMINÁ" 520 29916 "SUPLENTE" "DEPUTADO ESTADUAL" 1.74 "TOTAL:77,28%"
"MAURICIO CORREA" "ORIXIMINÁ" 532 29916 "SUPLENTE" "DEPUTADO ESTADUAL" 1.78 "TOTAL:77,28%"
"ANA CUNHA" "TOMÉ-AÇU" 642 31612 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.03 "TOTAL:65,4%"
"GENIVALDO SIQUEIRA" "TOMÉ-AÇU" 641 31612 "SUPLENTE" "DEPUTADO ESTADUAL" 2.03 "TOTAL:65,4%"
"JÚNIOR FERRARI" "VITÓRIA DO XINGU" 153 7546 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.03 "TOTAL:75,81%"
"PIO X" "BREU BRANCO" 432 21233 "SUPLENTE" "DEPUTADO ESTADUAL" 2.03 "TOTAL:64,58%"
"SIDNEY ROSA" "CAPITÃO POÇO" 612 29954 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.04 "TOTAL:86,09%"
"GERSON PERES" "FARO" 91 4247 "SUPLENTE" "DEPUTADO FEDERAL" 2.14 "TOTAL:82,17%"
"SCAFF" "RONDON DO PARÁ" 456 20701 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.2 "TOTAL:77,23%"
"DIRCEU TEN CATEN" "XINGUARA" 494 22248 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.22 "TOTAL:68,25%"
"MARTINHO CARMONA" "BELÉM" 18932 840979 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.25 "TOTAL:15,18%"
"WALTER VIEIRA" "BARCARENA" 1373 60297 "SUPLENTE" "DEPUTADO ESTADUAL" 2.28 "TOTAL:56,47%"
"ROQUEVAM" "BREU BRANCO" 488 21233 "SUPLENTE" "DEPUTADO ESTADUAL" 2.3 "TOTAL:64,58%"
"CARLOS MARTINS" "TERRA SANTA" 192 8297 "SUPLENTE" "DEPUTADO FEDERAL" 2.31 "TOTAL:80,61%"
"MILTON ZIMMER" "PALESTINA DO PARÁ" 97 4204 "SUPLENTE" "DEPUTADO FEDERAL" 2.31 "TOTAL:67,17%"
"GERSON PERES" "TERRA SANTA" 194 8297 "SUPLENTE" "DEPUTADO FEDERAL" 2.34 "TOTAL:80,61%"
"JOSUÉ BENGTSON" "REDENÇÃO" 1012 40803 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.48 "TOTAL:70,44%"
"JULIA MARINHO" "VISEU" 709 28475 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.49 "TOTAL:74,13%"
"FERNANDO COIMBRA" "SALVATERRA" 337 13266 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.54 "TOTAL:61,89%"
"HILDEGARDO NUNES" "PARAGOMINAS" 1346 52721 "SUPLENTE" "DEPUTADO ESTADUAL" 2.55 "TOTAL:60,11%"
"F. ALVES" "TOMÉ-AÇU" 815 31612 "SUPLENTE" "DEPUTADO ESTADUAL" 2.58 "TOTAL:65,4%"
"JUNIOR HAGE" "CASTANHAL" 2636 102332 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.58 "TOTAL:61,2%"
"TIÃO MIRANDA" "BREJO GRANDE DO ARAGUAIA" 111 4280 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.59 "TOTAL:75,58%"
"SIDNEY ROSA" "NOVA ESPERANÇA DO PIRIÁ" 268 10153 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.64 "TOTAL:70,09%"
"DIRCEU TEN CATEN" "NOVO REPARTIMENTO" 797 29818 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.67 "TOTAL:74,78%"
"DR. WANDERLAN" "BELÉM" 22418 840979 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.67 "TOTAL:15,18%"
"DIRCEU TEN CATEN" "RONDON DO PARÁ" 564 20701 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.72 "TOTAL:77,23%"
"MILTON ZIMMER" "VISEU" 775 28475 "SUPLENTE" "DEPUTADO FEDERAL" 2.72 "TOTAL:74,13%"
"BORDALO" "GARRAFÃO DO NORTE" 404 14780 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.73 "TOTAL:70,94%"
"SIMONE MORGADO" "OURÉM" 294 10761 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 2.73 "TOTAL:66,29%"
"JOAQUIM CAMPOS" "PARAGOMINAS" 1446 52721 "SUPLENTE" "DEPUTADO FEDERAL" 2.74 "TOTAL:57,42%"
"JULIO MAGNO" "URUARÁ" 545 19884 "SUPLENTE" "DEPUTADO ESTADUAL" 2.74 "TOTAL:70%"
"MAZINHO SALOMÃO DE AFUÁ" "SALVATERRA" 364 13266 "SUPLENTE" "DEPUTADO ESTADUAL" 2.74 "TOTAL:61,89%"
"ZÉ LINO" "CASTANHAL" 2859 102332 "SUPLENTE" "DEPUTADO ESTADUAL" 2.79 "TOTAL:61,2%"
"AIRTON FALEIRO" "URUARÁ" 557 19884 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.8 "TOTAL:70%"
"THIAGO ARAUJO" "SANTA ISABEL DO PARÁ" 956 34075 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.81 "TOTAL:37,47%"
"LUCIO VALE" "OURÉM" 312 10761 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.9 "TOTAL:66,29%"
"HILDEGARDO NUNES" "ACARÁ" 926 31225 "SUPLENTE" "DEPUTADO ESTADUAL" 2.97 "TOTAL:39,75%"
"MILTON ZIMMER" "CHAVES" 239 8021 "SUPLENTE" "DEPUTADO FEDERAL" 2.98 "TOTAL:69,9%"
"MAZINHO SALOMÃO DE AFUÁ" "SANTA CRUZ DO ARARI" 131 4380 "SUPLENTE" "DEPUTADO ESTADUAL" 2.99 "TOTAL:78,19%"
