"NOME_URNA_CANDIDATO" "NOME_MUNICIPIO" "TOTAL_VOTOS" "QTD_COMPARECIMENTO" "DESC_SIT_CAND_TOT" "DESCRICAO_CARGO" "PROP_VOT" "prop.total"
"LAURA HELENA" "VENHA-VER" 6 2674 "SUPLENTE" "DEPUTADO ESTADUAL" 0.22 "TOTAL:89,71%"
"ADENUBIO MELO" "PORTALEGRE" 17 5089 "SUPLENTE" "DEPUTADO ESTADUAL" 0.33 "TOTAL:82,23%"
"MINEIRO" "PORTALEGRE" 17 5089 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.33 "TOTAL:82,23%"
"GALENO" "PORTALEGRE" 18 5089 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.35 "TOTAL:82,23%"
"LEONARDO NOGUEIRA" "DOUTOR SEVERIANO" 16 4216 "SUPLENTE" "DEPUTADO ESTADUAL" 0.38 "TOTAL:83,04%"
"GETULIO REGO" "VENHA-VER" 12 2674 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.45 "TOTAL:89,71%"
"NILSON VIANNA" "RIACHO DA CRUZ" 11 2331 "SUPLENTE" "DEPUTADO ESTADUAL" 0.47 "TOTAL:84,6%"
"SOUZA" "RIACHO DA CRUZ" 11 2331 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.47 "TOTAL:84,6%"
"GETULIO REGO" "CORONEL JOÃO PESSOA" 14 2933 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.48 "TOTAL:84,53%"
"BISPO FRANCISCO DE ASSIS" "PORTALEGRE" 25 5089 "SUPLENTE" "DEPUTADO ESTADUAL" 0.49 "TOTAL:82,23%"
"GUSTAVO FERNANDES" "PARANÁ" 14 2752 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.51 "TOTAL:84,85%"
"JOSÉ DIAS" "PARANÁ" 14 2752 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.51 "TOTAL:84,85%"
"ROGERIO MARINHO" "PILÕES" 14 2701 "ELEITO POR QP" "DEPUTADO FEDERAL" 0.52 "TOTAL:83,71%"
"MÁRCIA MAIA" "JOSÉ DA PENHA" 23 4159 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.55 "TOTAL:78,67%"
"GETULIO REGO" "PARANÁ" 16 2752 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.58 "TOTAL:84,85%"
"BETINHO ROSADO SEGUNDO" "SÃO FRANCISCO DO OESTE" 19 2917 "ELEITO POR QP" "DEPUTADO FEDERAL" 0.65 "TOTAL:77,91%"
"BISPO FRANCISCO DE ASSIS" "CORONEL JOÃO PESSOA" 19 2933 "SUPLENTE" "DEPUTADO ESTADUAL" 0.65 "TOTAL:84,53%"
