"NOME_URNA_CANDIDATO" "NOME_MUNICIPIO" "TOTAL_VOTOS" "QTD_COMPARECIMENTO" "DESC_SIT_CAND_TOT" "DESCRICAO_CARGO" "PROP_VOT" "prop.total"
"CARLÃO PROCHNOW" "ESPIGÃO DO OESTE" 303 16897 "SUPLENTE" "DEPUTADO ESTADUAL" 1.79 "TOTAL:74,13%"
"AGNALDO MUNIZ" "ESPIGÃO DO OESTE" 327 16897 "SUPLENTE" "DEPUTADO FEDERAL" 1.94 "TOTAL:76,7%"
"EDSON MARTINS" "COSTA MARQUES" 129 6519 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.98 "TOTAL:64,34%"
"VALDIVINO TUCURA" "ESPIGÃO DO OESTE" 337 16897 "SUPLENTE" "DEPUTADO ESTADUAL" 1.99 "TOTAL:74,13%"
"GESSI DO BOM PREÇO" "SÃO FRANCISCO DO GUAPORÉ" 183 8423 "SUPLENTE" "DEPUTADO ESTADUAL" 2.17 "TOTAL:62%"
"ZEQUINHA ARAÚJO" "PORTO VELHO" 5507 250141 "SUPLENTE" "DEPUTADO ESTADUAL" 2.2 "TOTAL:13,8%"
"HERMÍNIO COELHO" "PORTO VELHO" 5669 250141 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.27 "TOTAL:13,8%"
"JEAN OLIVEIRA" "SÃO FRANCISCO DO GUAPORÉ" 203 8423 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 2.41 "TOTAL:62%"
"EDNEY DA CENTRAL" "PIMENTA BUENO" 475 19506 "SUPLENTE" "DEPUTADO ESTADUAL" 2.44 "TOTAL:70,22%"
"LAZINHO DA FETAGRO" "SÃO FRANCISCO DO GUAPORÉ" 215 8423 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.55 "TOTAL:62%"
"VALDIVINO TUCURA" "COSTA MARQUES" 166 6519 "SUPLENTE" "DEPUTADO ESTADUAL" 2.55 "TOTAL:64,34%"
"VALTER MOCRÉIA" "BURITIS" 451 17580 "SUPLENTE" "DEPUTADO ESTADUAL" 2.57 "TOTAL:53,17%"
"LINCOLN ASTRE" "JI-PARANÁ" 1725 65328 "SUPLENTE" "DEPUTADO FEDERAL" 2.64 "TOTAL:69,38%"
"ANSELMO DE JESUS" "JARU" 766 28841 "NÃO ELEITO" "DEPUTADO FEDERAL" 2.66 "TOTAL:66,63%"
"ELLIS REGINA" "PORTO VELHO" 6797 250141 "SUPLENTE" "DEPUTADO ESTADUAL" 2.72 "TOTAL:13,8%"
"SAULO MOREIRA" "ITAPUÃ DO OESTE" 127 4671 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.72 "TOTAL:20,49%"
"EPIFÂNIA" "CANDEIAS DO JAMARI" 346 12569 "SUPLENTE" "DEPUTADO ESTADUAL" 2.75 "TOTAL:39,45%"
"LUCIO MOSQUINI" "ESPIGÃO DO OESTE" 466 16897 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.76 "TOTAL:76,7%"
"PROFESSOR DANTAS" "OURO PRETO DO OESTE" 622 21953 "SUPLENTE" "DEPUTADO ESTADUAL" 2.83 "TOTAL:67,95%"
"MÁRCIO MATEUS" "ALTA FLORESTA DO OESTE" 405 13945 "SUPLENTE" "DEPUTADO ESTADUAL" 2.9 "TOTAL:58,21%"
"VALDIVINO TUCURA" "PRIMAVERA DE RONDÔNIA" 64 2184 "SUPLENTE" "DEPUTADO ESTADUAL" 2.93 "TOTAL:77,7%"
"AGNALDO MUNIZ" "PORTO VELHO" 7482 250141 "SUPLENTE" "DEPUTADO FEDERAL" 2.99 "TOTAL:38,37%"
"ADRIANO BOIADEIRO" "PRESIDENTE MÉDICI" 376 12419 "SUPLENTE" "DEPUTADO ESTADUAL" 3.03 "TOTAL:50,1%"
"ZEQUINHA ARAÚJO" "ITAPUÃ DO OESTE" 145 4671 "SUPLENTE" "DEPUTADO ESTADUAL" 3.1 "TOTAL:20,49%"
"LÉO MORAES" "PORTO VELHO" 8009 250141 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 3.2 "TOTAL:13,8%"
"GERALDO DA RONDONIA" "CUJUBIM" 254 7882 "SUPLENTE" "DEPUTADO ESTADUAL" 3.22 "TOTAL:51,46%"
"AGNALDO MUNIZ" "JI-PARANÁ" 2111 65328 "SUPLENTE" "DEPUTADO FEDERAL" 3.23 "TOTAL:69,38%"
"PAULO VAREJÃO" "GUAJARÁ-MIRIM" 697 21598 "SUPLENTE" "DEPUTADO ESTADUAL" 3.23 "TOTAL:58,21%"
"GUILHERME MOREIRA MENDES" "JARU" 936 28841 "SUPLENTE" "DEPUTADO FEDERAL" 3.25 "TOTAL:66,63%"
"NILTON CAPIXABA" "COSTA MARQUES" 218 6519 "ELEITO POR QP" "DEPUTADO FEDERAL" 3.34 "TOTAL:67,46%"
"CHIQUINHO" "CANDEIAS DO JAMARI" 425 12569 "SUPLENTE" "DEPUTADO ESTADUAL" 3.38 "TOTAL:39,45%"
"AÉLCIO DA TV" "PORTO VELHO" 8521 250141 "ELEITO POR QP" "DEPUTADO ESTADUAL" 3.41 "TOTAL:13,8%"
"MARCOS ROGERIO" "ROLIM DE MOURA" 974 28425 "ELEITO POR QP" "DEPUTADO FEDERAL" 3.43 "TOTAL:57%"
"VOLPI" "ALTO PARAÍSO" 325 9467 "SUPLENTE" "DEPUTADO ESTADUAL" 3.43 "TOTAL:57,51%"
"EDGAR DO BOI" "CUJUBIM" 272 7882 "SUPLENTE" "DEPUTADO FEDERAL" 3.45 "TOTAL:44,52%"
"ANTENOR DA SITHATHI" "MACHADINHO DO OESTE" 613 17362 "SUPLENTE" "DEPUTADO ESTADUAL" 3.53 "TOTAL:60,13%"
"ADEMAR RAUPP" "ALTA FLORESTA DO OESTE" 493 13945 "SUPLENTE" "DEPUTADO ESTADUAL" 3.54 "TOTAL:58,21%"
"ADAILTON FURIA" "MINISTRO ANDREAZZA" 202 5693 "SUPLENTE" "DEPUTADO ESTADUAL" 3.55 "TOTAL:62,25%"
"MARINHA RAUPP" "CACOAL" 1616 45235 "ELEITO POR QP" "DEPUTADO FEDERAL" 3.57 "TOTAL:54,14%"
"NILTON CAPIXABA" "ESPIGÃO DO OESTE" 610 16897 "ELEITO POR QP" "DEPUTADO FEDERAL" 3.61 "TOTAL:76,7%"
"FELIX DE RONDONIA" "CACAULÂNDIA" 120 3297 "SUPLENTE" "DEPUTADO ESTADUAL" 3.64 "TOTAL:60,94%"
"GUILHERME MOREIRA MENDES" "ALTO PARAÍSO" 348 9467 "SUPLENTE" "DEPUTADO FEDERAL" 3.68 "TOTAL:57,52%"
"ELIANE BACK" "VILHENA" 1567 42297 "SUPLENTE" "DEPUTADO FEDERAL" 3.7 "TOTAL:55,34%"
"CORAZINHO" "CACOAL" 1680 45235 "SUPLENTE" "DEPUTADO FEDERAL" 3.71 "TOTAL:54,14%"
"FATIMA CLEIDE" "CACOAL" 1685 45235 "NÃO ELEITO" "DEPUTADO FEDERAL" 3.72 "TOTAL:54,14%"
"GLAUCIONE" "ALTO ALEGRE DOS PARECIS" 251 6585 "ELEITO POR QP" "DEPUTADO ESTADUAL" 3.81 "TOTAL:36,2%"
"LUIZ CLAUDIO" "COSTA MARQUES" 250 6519 "ELEITO POR QP" "DEPUTADO FEDERAL" 3.83 "TOTAL:67,46%"
"EDSON MARTINS" "MIRANTE DA SERRA" 264 6874 "ELEITO POR QP" "DEPUTADO ESTADUAL" 3.84 "TOTAL:59,42%"
"EDSON MARTINS" "ALTO ALEGRE DOS PARECIS" 255 6585 "ELEITO POR QP" "DEPUTADO ESTADUAL" 3.87 "TOTAL:36,2%"
"ANSELMO DE JESUS" "ROLIM DE MOURA" 1135 28425 "NÃO ELEITO" "DEPUTADO FEDERAL" 3.99 "TOTAL:57%"
"MARCELO BESSA" "PORTO VELHO" 10036 250141 "SUPLENTE" "DEPUTADO FEDERAL" 4.01 "TOTAL:38,37%"
"LAZINHO DA FETAGRO" "ALVORADA DO OESTE" 379 9347 "ELEITO POR QP" "DEPUTADO ESTADUAL" 4.05 "TOTAL:63,02%"
"EXPEDITO NETTO" "NOVA MAMORÉ" 543 13386 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 4.06 "TOTAL:59,05%"
"HERMÍNIO COELHO" "PRESIDENTE MÉDICI" 505 12419 "ELEITO POR QP" "DEPUTADO ESTADUAL" 4.07 "TOTAL:50,1%"
"AMIR LANDO" "ARIQUEMES" 2020 49508 "SUPLENTE" "DEPUTADO FEDERAL" 4.08 "TOTAL:62,88%"
"MARCOS MERENDA" "MACHADINHO DO OESTE" 708 17362 "SUPLENTE" "DEPUTADO ESTADUAL" 4.08 "TOTAL:60,13%"
"HEVERT BUENO" "VILHENA" 1751 42297 "SUPLENTE" "DEPUTADO ESTADUAL" 4.14 "TOTAL:55,15%"
"MARINHA RAUPP" "JARU" 1200 28841 "ELEITO POR QP" "DEPUTADO FEDERAL" 4.16 "TOTAL:66,63%"
"AGNALDO MUNIZ" "CACOAL" 1888 45235 "SUPLENTE" "DEPUTADO FEDERAL" 4.17 "TOTAL:54,14%"
"NILTON CAPIXABA" "PIMENTA BUENO" 824 19506 "ELEITO POR QP" "DEPUTADO FEDERAL" 4.22 "TOTAL:60,48%"
"PROF. STELLA MARI" "THEOBROMA" 260 6168 "SUPLENTE" "DEPUTADO ESTADUAL" 4.22 "TOTAL:50,89%"
"BRITO" "PRIMAVERA DE RONDÔNIA" 93 2184 "SUPLENTE" "DEPUTADO ESTADUAL" 4.26 "TOTAL:77,7%"
"DONA MADALENA MENDONÇA" "ESPIGÃO DO OESTE" 725 16897 "SUPLENTE" "DEPUTADO ESTADUAL" 4.29 "TOTAL:74,13%"
"AMIR LANDO" "CAMPO NOVO DE RONDÔNIA" 271 6273 "SUPLENTE" "DEPUTADO FEDERAL" 4.32 "TOTAL:58,12%"
"NILTON CAPIXABA" "ALTO ALEGRE DOS PARECIS" 287 6585 "ELEITO POR QP" "DEPUTADO FEDERAL" 4.36 "TOTAL:56,39%"
"SIDNEI SANTOS" "ARIQUEMES" 2158 49508 "SUPLENTE" "DEPUTADO ESTADUAL" 4.36 "TOTAL:49,52%"
"EXPEDITO NETTO" "OURO PRETO DO OESTE" 964 21953 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 4.39 "TOTAL:69,82%"
"LUCIO MOSQUINI" "PIMENTA BUENO" 859 19506 "ELEITO POR QP" "DEPUTADO FEDERAL" 4.4 "TOTAL:60,48%"
"ANSELMO DE JESUS" "BURITIS" 781 17580 "NÃO ELEITO" "DEPUTADO FEDERAL" 4.44 "TOTAL:41,7%"
"NILTON CAPIXABA" "ALTA FLORESTA DO OESTE" 619 13945 "ELEITO POR QP" "DEPUTADO FEDERAL" 4.44 "TOTAL:61,53%"
"EDSON MARTINS" "VALE DO ANARI" 215 4833 "ELEITO POR QP" "DEPUTADO ESTADUAL" 4.45 "TOTAL:46,93%"
"FLÁVIO LEMOS" "ITAPUÃ DO OESTE" 208 4671 "SUPLENTE" "DEPUTADO FEDERAL" 4.45 "TOTAL:47,29%"
"JUNIOR DONADON" "CHUPINGUAIA" 173 3867 "SUPLENTE" "DEPUTADO FEDERAL" 4.47 "TOTAL:61,54%"
"CLEIDE ALMEIDA" "MIRANTE DA SERRA" 308 6874 "SUPLENTE" "DEPUTADO ESTADUAL" 4.48 "TOTAL:59,42%"
"MARCOS ROGERIO" "OURO PRETO DO OESTE" 987 21953 "ELEITO POR QP" "DEPUTADO FEDERAL" 4.5 "TOTAL:69,82%"
"NETO DA CANAA CONFECÇÕES" "CACOAL" 2037 45235 "SUPLENTE" "DEPUTADO ESTADUAL" 4.5 "TOTAL:51,58%"
"BETO" "ITAPUÃ DO OESTE" 211 4671 "SUPLENTE" "DEPUTADO ESTADUAL" 4.52 "TOTAL:20,49%"
"CELSO COELHO" "VALE DO ANARI" 219 4833 "SUPLENTE" "DEPUTADO ESTADUAL" 4.53 "TOTAL:46,93%"
"MARIANA CARVALHO" "VILHENA" 1931 42297 "ELEITO POR QP" "DEPUTADO FEDERAL" 4.57 "TOTAL:55,34%"
"LEBRÃO" "ALVORADA DO OESTE" 432 9347 "ELEITO POR QP" "DEPUTADO ESTADUAL" 4.62 "TOTAL:63,02%"
"LAZINHO DA FETAGRO" "CACAULÂNDIA" 155 3297 "ELEITO POR QP" "DEPUTADO ESTADUAL" 4.7 "TOTAL:60,94%"
