"NOME_URNA_CANDIDATO" "NOME_MUNICIPIO" "TOTAL_VOTOS" "QTD_COMPARECIMENTO" "DESC_SIT_CAND_TOT" "DESCRICAO_CARGO" "PROP_VOT" "prop.total"
"MASAMY EDA" "BOA VISTA" 3245 169526 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.91 "TOTAL:10,57%"
"IZAIAS MAIA" "BOA VISTA" 3319 169526 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 1.96 "TOTAL:10,57%"
"JALSER RENIER" "BOA VISTA" 3423 169526 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.02 "TOTAL:10,57%"
"BRITO BEZERRA" "BOA VISTA" 3871 169526 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.28 "TOTAL:10,57%"
"OLENO MATOS" "BOA VISTA" 4068 169526 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.4 "TOTAL:10,57%"
"MECIAS DE JESUS" "CANTÁ" 282 8816 "ELEITO POR QP" "DEPUTADO ESTADUAL" 3.2 "TOTAL:21,32%"
"AIRTON CASCAVEL" "SÃO JOÃO DA BALIZA" 131 3990 "SUPLENTE" "DEPUTADO ESTADUAL" 3.28 "TOTAL:48,62%"
"NALDO DA LOTERIA" "CANTÁ" 295 8816 "ELEITO POR QP" "DEPUTADO ESTADUAL" 3.35 "TOTAL:21,32%"
"VIVIANE DE MORAES" "CANTÁ" 302 8816 "SUPLENTE" "DEPUTADO ESTADUAL" 3.43 "TOTAL:21,32%"
"ANGELA AGUIDA PORTELLA" "MUCAJAÍ" 338 9231 "ELEITO POR QP" "DEPUTADO ESTADUAL" 3.66 "TOTAL:26,63%"
"XINGU" "MUCAJAÍ" 347 9231 "ELEITO POR QP" "DEPUTADO ESTADUAL" 3.76 "TOTAL:26,63%"
"AURELINA" "BONFIM" 246 6449 "ELEITO POR QP" "DEPUTADO ESTADUAL" 3.81 "TOTAL:31,93%"
"MECIAS DE JESUS" "BONFIM" 252 6449 "ELEITO POR QP" "DEPUTADO ESTADUAL" 3.91 "TOTAL:31,93%"
"ZE REINALDO" "RORAINÓPOLIS" 513 12892 "SUPLENTE" "DEPUTADO ESTADUAL" 3.98 "TOTAL:26,59%"
"CHICO GUERRA" "ALTO ALEGRE" 322 7966 "ELEITO POR QP" "DEPUTADO ESTADUAL" 4.04 "TOTAL:32,61%"
"JALSER RENIER" "SÃO LUIZ" 167 4104 "ELEITO POR QP" "DEPUTADO ESTADUAL" 4.07 "TOTAL:32,26%"
"VIVIANE DE MORAES" "IRACEMA" 176 4258 "SUPLENTE" "DEPUTADO ESTADUAL" 4.13 "TOTAL:35,71%"
"JALSER RENIER" "RORAINÓPOLIS" 539 12892 "ELEITO POR QP" "DEPUTADO ESTADUAL" 4.18 "TOTAL:26,59%"
"VALDENIR DA ACTA" "CANTÁ" 372 8816 "ELEITO POR QP" "DEPUTADO ESTADUAL" 4.22 "TOTAL:21,32%"
"DR. HIRAN GONÇALVES" "BOA VISTA" 7174 169526 "ELEITO POR QP" "DEPUTADO FEDERAL" 4.23 "TOTAL:36,98%"
"MECIAS DE JESUS" "CARACARAÍ" 429 10062 "ELEITO POR QP" "DEPUTADO ESTADUAL" 4.26 "TOTAL:39,36%"
"URZENI ROCHA" "UIRAMUTÃ" 177 4053 "SUPLENTE" "DEPUTADO FEDERAL" 4.37 "TOTAL:55,38%"
"CHICO GUERRA" "NORMANDIA" 221 5029 "ELEITO POR QP" "DEPUTADO ESTADUAL" 4.39 "TOTAL:36,92%"
"AURELINA" "PACARAIMA" 277 6269 "ELEITO POR QP" "DEPUTADO ESTADUAL" 4.42 "TOTAL:28,34%"
"JALSER RENIER" "PACARAIMA" 286 6269 "ELEITO POR QP" "DEPUTADO ESTADUAL" 4.56 "TOTAL:28,34%"
"GABRIEL PICANÇO" "AMAJARI" 210 4599 "ELEITO POR QP" "DEPUTADO ESTADUAL" 4.57 "TOTAL:39,53%"
"ALMIR MORAIS" "ALTO ALEGRE" 368 7966 "SUPLENTE" "DEPUTADO FEDERAL" 4.62 "TOTAL:47,29%"
"ROBSON BENTO" "UIRAMUTÃ" 196 4053 "SUPLENTE" "DEPUTADO FEDERAL" 4.84 "TOTAL:55,38%"
"PASTOR FRANKEMBERGEN" "SÃO JOÃO DA BALIZA" 195 3990 "SUPLENTE" "DEPUTADO FEDERAL" 4.89 "TOTAL:53%"
"BRITO BEZERRA" "IRACEMA" 212 4258 "ELEITO POR QP" "DEPUTADO ESTADUAL" 4.98 "TOTAL:35,71%"
"MÁRIO NICACIO" "PACARAIMA" 313 6269 "SUPLENTE" "DEPUTADO ESTADUAL" 4.99 "TOTAL:28,34%"
"REMIDIO DA AMATUR" "BOA VISTA" 8490 169526 "ELEITO POR QP" "DEPUTADO FEDERAL" 5.01 "TOTAL:36,98%"
"FRANCK RODRIGUES" "AMAJARI" 231 4599 "SUPLENTE" "DEPUTADO ESTADUAL" 5.02 "TOTAL:39,53%"
"EDUARDO CAMPOS" "BONFIM" 326 6449 "NÃO ELEITO" "DEPUTADO FEDERAL" 5.06 "TOTAL:51,69%"
"FRANCIELLE DIAS NOVO" "CARACARAÍ" 511 10062 "SUPLENTE" "DEPUTADO ESTADUAL" 5.08 "TOTAL:39,36%"
"EDIO LOPES" "SÃO JOÃO DA BALIZA" 204 3990 "ELEITO POR QP" "DEPUTADO FEDERAL" 5.11 "TOTAL:53%"
"MECIAS DE JESUS" "MUCAJAÍ" 472 9231 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.11 "TOTAL:26,63%"
"EDUARDO CAMPOS" "MUCAJAÍ" 489 9231 "NÃO ELEITO" "DEPUTADO FEDERAL" 5.3 "TOTAL:59,61%"
"DR. HIRAN GONÇALVES" "CANTÁ" 472 8816 "ELEITO POR QP" "DEPUTADO FEDERAL" 5.35 "TOTAL:40,31%"
"ABEL GALINHA" "CANTÁ" 473 8816 "ELEITO POR QP" "DEPUTADO FEDERAL" 5.37 "TOTAL:40,31%"
"MECIAS DE JESUS" "NORMANDIA" 272 5029 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.41 "TOTAL:36,92%"
"GEORGE MELO" "CAROEBE" 270 4950 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.45 "TOTAL:31,84%"
"JALSER RENIER" "UIRAMUTÃ" 222 4053 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.48 "TOTAL:36,66%"
"AIRTON CASCAVEL" "CAROEBE" 272 4950 "SUPLENTE" "DEPUTADO ESTADUAL" 5.49 "TOTAL:31,84%"
"CHICO GUERRA" "AMAJARI" 253 4599 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.5 "TOTAL:39,53%"
"VALDENIR DA ACTA" "BONFIM" 356 6449 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.52 "TOTAL:31,93%"
"BRITO BEZERRA" "RORAINÓPOLIS" 724 12892 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.62 "TOTAL:26,59%"
"EDUARDO CAMPOS" "SÃO LUIZ" 235 4104 "NÃO ELEITO" "DEPUTADO FEDERAL" 5.73 "TOTAL:63,58%"
"DR. FRANCISCO ARAUJO" "MUCAJAÍ" 531 9231 "SUPLENTE" "DEPUTADO FEDERAL" 5.75 "TOTAL:59,61%"
"ANGELA AGUIDA PORTELLA" "PACARAIMA" 362 6269 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.77 "TOTAL:28,34%"
"REMIDIO DA AMATUR" "IRACEMA" 248 4258 "ELEITO POR QP" "DEPUTADO FEDERAL" 5.82 "TOTAL:61,64%"
"REMIDIO DA AMATUR" "SÃO JOÃO DA BALIZA" 234 3990 "ELEITO POR QP" "DEPUTADO FEDERAL" 5.86 "TOTAL:53%"
"MÁRIO NICACIO" "UIRAMUTÃ" 242 4053 "SUPLENTE" "DEPUTADO ESTADUAL" 5.97 "TOTAL:36,66%"
"JORGE EVERTON" "SÃO LUIZ" 246 4104 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 5.99 "TOTAL:32,26%"
"AURELINA" "MUCAJAÍ" 554 9231 "ELEITO POR QP" "DEPUTADO ESTADUAL" 6 "TOTAL:26,63%"
"MARCIO JUNQUEIRA" "BONFIM" 388 6449 "SUPLENTE" "DEPUTADO FEDERAL" 6.02 "TOTAL:51,69%"
