"NOME_URNA_CANDIDATO" "NOME_MUNICIPIO" "TOTAL_VOTOS" "QTD_COMPARECIMENTO" "DESC_SIT_CAND_TOT" "DESCRICAO_CARGO" "PROP_VOT" "prop.total"
"SEBASTIÃO SANTOS" "SANTA FÉ DO SUL" 92 18666 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.49 "TOTAL:78,45%"
"SEBASTIÃO SANTOS" "PEDERNEIRAS" 138 25377 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.54 "TOTAL:76%"
"BETO TRICOLI" "VARGEM" 30 5453 "SUPLENTE" "DEPUTADO ESTADUAL" 0.55 "TOTAL:43,95%"
"HELENO METALURGICO" "VARGEM" 30 5453 "SUPLENTE" "DEPUTADO ESTADUAL" 0.55 "TOTAL:43,95%"
"MARTA COSTA" "SANTA FÉ DO SUL" 103 18666 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.55 "TOTAL:78,45%"
"CAMPOS MACHADO" "GUARAREMA" 105 18588 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.56 "TOTAL:77,49%"
"JOÃO PAULO RILLO" "VOTUPORANGA" 326 54611 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.6 "TOTAL:71,64%"
"RENATO SIMÕES" "INDAIATUBA" 771 123570 "SUPLENTE" "DEPUTADO ESTADUAL" 0.62 "TOTAL:72,95%"
"GONDIM" "GUARAREMA" 123 18588 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.66 "TOTAL:77,49%"
"ORLANDO MORANDO" "TUIUTI" 27 4108 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.66 "TOTAL:76,03%"
"RODRIGO MORAES" "TUIUTI" 27 4108 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.66 "TOTAL:76,03%"
"MARTA COSTA" "ARARAQUARA" 1133 128190 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.88 "TOTAL:55,36%"
"RITA PASSOS" "INDAIATUBA" 1082 123570 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.88 "TOTAL:72,95%"
"ANTONIO MENTOR" "ITAPIRA" 399 44648 "SUPLENTE" "DEPUTADO ESTADUAL" 0.89 "TOTAL:64,74%"
"CIDÃO DO SINDICATO" "JOÃO RAMALHO" 26 2888 "SUPLENTE" "DEPUTADO ESTADUAL" 0.9 "TOTAL:69,56%"
"VAZ DE LIMA" "LINS" 383 42673 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.9 "TOTAL:67,12%"
"EDMIR CHEDID" "ITAPIRA" 409 44648 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.92 "TOTAL:64,74%"
